pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group,sample_id
Pen 1,211228_220119,0,2022-01-14,0.9233490392313177,0.07665096076868226,0.8466980784626355,control,1
Pen 1,211228_220119,1,2022-01-13,0.930450265095509,0.06954973490449103,0.8609005301910179,control,1
Pen 1,211228_220119,2,2022-01-12,0.933450834186981,0.06654916581301883,0.8669016683739623,control,1
Pen 1,211228_220119,3,2022-01-11,0.9292959287670711,0.07070407123292878,0.8585918575341424,control,1
Pen 1,211228_220119,4,2022-01-10,0.9236322847283279,0.07636771527167205,0.8472645694566557,control,1
Pen 1,211228_220119,5,2022-01-09,0.9163114919100543,0.08368850808994559,0.8326229838201087,control,1
Pen 1,211228_220119,6,2022-01-08,0.9164943337455251,0.0835056662544749,0.8329886674910503,control,1
Pen 1,211228_220119,7,2022-01-07,0.92105652431368,0.07894347568631999,0.8421130486273599,control,1
Pen 1,211228_220119,8,2022-01-06,0.9297795528259044,0.07022044717409566,0.8595591056518087,control,1
Pen 1,211228_220119,9,2022-01-05,0.9242697624222949,0.07573023757770524,0.8485395248445894,control,1
Pen 1,211228_220119,10,2022-01-04,0.9212015164998134,0.07879848350018655,0.8424030329996269,control,1
Pen 1,211228_220119,0,2022-01-13,0.930450265095509,0.06954973490449103,0.8609005301910179,control,2
Pen 1,211228_220119,1,2022-01-12,0.933450834186981,0.06654916581301883,0.8669016683739623,control,2
Pen 1,211228_220119,2,2022-01-11,0.9292959287670711,0.07070407123292878,0.8585918575341424,control,2
Pen 1,211228_220119,3,2022-01-10,0.9236322847283279,0.07636771527167205,0.8472645694566557,control,2
Pen 1,211228_220119,4,2022-01-09,0.9163114919100543,0.08368850808994559,0.8326229838201087,control,2
Pen 1,211228_220119,5,2022-01-08,0.9164943337455251,0.0835056662544749,0.8329886674910503,control,2
Pen 1,211228_220119,6,2022-01-07,0.92105652431368,0.07894347568631999,0.8421130486273599,control,2
Pen 1,211228_220119,7,2022-01-06,0.9297795528259044,0.07022044717409566,0.8595591056518087,control,2
Pen 1,211228_220119,8,2022-01-05,0.9242697624222949,0.07573023757770524,0.8485395248445894,control,2
Pen 1,211228_220119,9,2022-01-04,0.9212015164998134,0.07879848350018655,0.8424030329996269,control,2
Pen 1,211228_220119,10,2022-01-03,0.9083487651181894,0.09165123488181053,0.8166975302363789,control,2
Pen 1,211228_220119,0,2022-01-09,0.9163114919100543,0.08368850808994559,0.8326229838201087,control,3
Pen 1,211228_220119,1,2022-01-08,0.9164943337455251,0.0835056662544749,0.8329886674910503,control,3
Pen 1,211228_220119,2,2022-01-07,0.92105652431368,0.07894347568631999,0.8421130486273599,control,3
Pen 1,211228_220119,3,2022-01-06,0.9297795528259044,0.07022044717409566,0.8595591056518087,control,3
Pen 1,211228_220119,4,2022-01-05,0.9242697624222949,0.07573023757770524,0.8485395248445894,control,3
Pen 1,211228_220119,5,2022-01-04,0.9212015164998134,0.07879848350018655,0.8424030329996269,control,3
Pen 1,211228_220119,6,2022-01-03,0.9083487651181894,0.09165123488181053,0.8166975302363789,control,3
Pen 1,211228_220119,7,2022-01-02,0.9073274415531483,0.09267255844685178,0.8146548831062965,control,3
Pen 1,211228_220119,8,2022-01-01,0.8988962220766732,0.10110377792332692,0.7977924441533462,control,3
Pen 1,211228_220119,9,2021-12-31,0.9000425708478064,0.09995742915219366,0.8000851416956126,control,3
Pen 1,211228_220119,10,2021-12-30,0.9009323543859694,0.0990676456140307,0.8018647087719386,control,3
Pen 1,211228_220119,0,2022-01-05,0.9242697624222949,0.07573023757770524,0.8485395248445894,control,4
Pen 1,211228_220119,1,2022-01-04,0.9212015164998134,0.07879848350018655,0.8424030329996269,control,4
Pen 1,211228_220119,2,2022-01-03,0.9083487651181894,0.09165123488181053,0.8166975302363789,control,4
Pen 1,211228_220119,3,2022-01-02,0.9073274415531483,0.09267255844685178,0.8146548831062965,control,4
Pen 1,211228_220119,4,2022-01-01,0.8988962220766732,0.10110377792332692,0.7977924441533462,control,4
Pen 1,211228_220119,5,2021-12-31,0.9000425708478064,0.09995742915219366,0.8000851416956126,control,4
Pen 1,211228_220119,6,2021-12-30,0.9009323543859694,0.0990676456140307,0.8018647087719386,control,4
Pen 1,211228_220119,7,2021-12-29,0.9011668997891729,0.09883310021082721,0.8023337995783456,control,4
Pen 1,211228_220119,8,2021-12-28,0.9033786237891401,0.09662137621085992,0.8067572475782802,control,4
Pen 1,211228_220119,0,2022-01-11,0.9292959287670711,0.07070407123292878,0.8585918575341424,control,5
Pen 1,211228_220119,1,2022-01-10,0.9236322847283279,0.07636771527167205,0.8472645694566557,control,5
Pen 1,211228_220119,2,2022-01-09,0.9163114919100543,0.08368850808994559,0.8326229838201087,control,5
Pen 1,211228_220119,3,2022-01-08,0.9164943337455251,0.0835056662544749,0.8329886674910503,control,5
Pen 1,211228_220119,4,2022-01-07,0.92105652431368,0.07894347568631999,0.8421130486273599,control,5
Pen 1,211228_220119,5,2022-01-06,0.9297795528259044,0.07022044717409566,0.8595591056518087,control,5
Pen 1,211228_220119,6,2022-01-05,0.9242697624222949,0.07573023757770524,0.8485395248445894,control,5
Pen 1,211228_220119,7,2022-01-04,0.9212015164998134,0.07879848350018655,0.8424030329996269,control,5
Pen 1,211228_220119,8,2022-01-03,0.9083487651181894,0.09165123488181053,0.8166975302363789,control,5
Pen 1,211228_220119,9,2022-01-02,0.9073274415531483,0.09267255844685178,0.8146548831062965,control,5
Pen 1,211228_220119,10,2022-01-01,0.8988962220766732,0.10110377792332692,0.7977924441533462,control,5
Pen 2,220725_220831,0,2022-08-01,0.8879340619915385,0.11206593800846165,0.7758681239830767,control,1
Pen 2,220725_220831,1,2022-07-31,0.8888818277112289,0.1111181722887712,0.7777636554224577,control,1
Pen 2,220725_220831,2,2022-07-30,0.878129324908346,0.12187067509165396,0.756258649816692,control,1
Pen 2,220725_220831,3,2022-07-29,0.8794630706982366,0.1205369293017633,0.7589261413964734,control,1
Pen 2,220725_220831,4,2022-07-28,0.8966404371185327,0.10335956288146725,0.7932808742370655,control,1
Pen 2,220725_220831,5,2022-07-27,0.9004984816457217,0.09950151835427835,0.8009969632914434,control,1
Pen 2,220725_220831,6,2022-07-26,0.9017417339166699,0.09825826608333015,0.8034834678333397,control,1
Pen 2,220725_220831,7,2022-07-25,0.8936101771488061,0.10638982285119386,0.7872203542976122,control,1
Pen 2,220725_220831,0,2022-08-25,0.9209447264878333,0.07905527351216671,0.8418894529756665,control,2
Pen 2,220725_220831,1,2022-08-24,0.9270819776980384,0.07291802230196164,0.8541639553960767,control,2
Pen 2,220725_220831,2,2022-08-23,0.928602835445064,0.07139716455493605,0.8572056708901279,control,2
Pen 2,220725_220831,3,2022-08-22,0.9266458209111286,0.07335417908887144,0.8532916418222571,control,2
Pen 2,220725_220831,4,2022-08-21,0.9166178653352223,0.08338213466477762,0.8332357306704448,control,2
Pen 2,220725_220831,5,2022-08-20,0.9112795809980403,0.08872041900195964,0.8225591619960807,control,2
