pen,datespan,reference_date,sample_id,value_at_reference,metric,value_1d_before,abs_change_1d,pct_change_1d,ttest_pvalue_1d,value_3d_before,abs_change_3d,pct_change_3d,ttest_pvalue_3d,value_5d_before,abs_change_5d,pct_change_5d,ttest_pvalue_5d,value_7d_before,abs_change_7d,pct_change_7d,ttest_pvalue_7d,1d_window_avg,1d_window_min,1d_window_max,1d_window_std,1d_window_ci_lower,1d_window_ci_upper,1d_window_slope,1d_window_slope_p_value,1d_window_slope_r_squared,1d_window_slope_std_err,3d_window_avg,3d_window_min,3d_window_max,3d_window_std,3d_window_ci_lower,3d_window_ci_upper,3d_window_slope,3d_window_slope_p_value,3d_window_slope_r_squared,3d_window_slope_std_err,5d_window_avg,5d_window_min,5d_window_max,5d_window_std,5d_window_ci_lower,5d_window_ci_upper,5d_window_slope,5d_window_slope_p_value,5d_window_slope_r_squared,5d_window_slope_std_err,7d_window_avg,7d_window_min,7d_window_max,7d_window_std,7d_window_ci_lower,7d_window_ci_upper,7d_window_slope,7d_window_slope_p_value,7d_window_slope_r_squared,7d_window_slope_std_err
Pen 1,211228_220119,2022-01-05,1,12.77896867807239,num_pigs_lying,12.510587055262164,0.26838162281022626,2.1452360438780564,1.0,12.376789422773744,0.4021792552986465,3.249463504312532,1.0,12.531068610077028,0.2479000679953618,1.9782835423629364,1.0,12.745941164887952,0.03302751318443775,0.25912180793224376,1.0,12.650369150475825,12.521769622879257,12.77896867807239,0.0790726939312341,12.616979680166935,12.683758620784715,0.2683816228102271,3.4444921874999685e-218,1.0,0.0,12.602568075529156,12.390709004592207,12.77896867807239,0.08930727352699894,12.581581895123465,12.623554255934847,0.05914105605237089,1.093144030856516e-07,0.3334694979529578,0.009993601130424674,12.843680550681617,12.376789422773744,13.95998366013072,0.41349372470219,12.76893843334806,12.918422668015173,-0.16878760008887164,1.114863844162666e-12,0.3500306845677571,0.021173512179471166,12.798591000014618,12.376789422773744,13.95998366013072,0.35826358570557715,12.744020895675234,12.853161104354001,-0.036479708318144774,0.0072783626662338815,0.0425882343019346,0.013424616123932864
Pen 1,211228_220119,2022-01-09,2,14.704930703606948,num_pigs_lying,14.775152505446622,-0.07022180183967386,-0.4752695568711573,1.0,13.06459635781843,1.6403343457885171,12.555568506384576,1.0,12.510587055262164,2.194343648344784,17.53989352099833,1.0,12.376789422773744,2.3281412808332043,18.810542874304215,1.0,14.738578650321791,14.704930703606948,14.772226597036635,0.020689296778321323,14.729842326489289,14.747314974154294,-0.07022180183967357,1.0891006269402914e-173,0.9999999999999998,2.230903276205082e-10,14.001551841697449,13.074845086939709,14.775152505446622,0.6845950125914365,13.840679900682066,14.162423782712832,0.7478466562822814,6.700450990458005e-38,0.9074219444227021,0.02855044783451571,13.516551554034988,12.521769622879257,14.775152505446622,0.8035948809762006,13.37129570299196,13.661807405078017,0.5284784736556906,3.9691998619953516e-63,0.9085381490329288,0.015435997784468927,13.248584692326657,12.390709004592207,14.775152505446622,0.8017377808355285,13.126465347523984,13.37070403712933,0.35801976404997393,1.583619936450591e-63,0.8191087431716446,0.013058429998439314
Pen 1,211228_220119,2022-01-04,3,12.510587055262164,num_pigs_lying,12.71085938641685,-0.2002723311546859,-1.575600241229181,1.0,13.95998366013072,-1.4493966048685554,-10.382509322041596,1.0,12.737705870770306,-0.22711881550814184,-1.783043334587588,1.0,13.451290849673203,-0.9407037944110392,-6.99340907072791,1.0,12.606550880607116,12.510587055262164,12.70251470595207,0.05900580143479845,12.581634915852295,12.631466845361938,-0.2002723311546859,3.4444921874999685e-218,1.0,0.0,12.76424613476187,12.376789422773744,13.894017233574179,0.38095130151766127,12.67472696769184,12.8537653018319,-0.2886893797274063,2.6694153682345666e-10,0.43669107754562103,0.0391893394402964,12.839623180084963,12.376789422773744,13.95998366013072,0.41488942607206225,12.76462877917534,12.914617580994587,-0.07589015458934519,0.0034296956742074984,0.07028603248727446,0.025408825882818353,12.860527010258197,12.376789422773744,13.95998366013072,0.37164955038336217,12.8039179783853,12.917136042131094,-0.048518852140349226,0.0005285622050580245,0.0700077417763087,0.01372533982436825
Pen 1,211228_220119,2022-01-11,4,13.97815317353402,num_pigs_lying,14.535789339111362,-0.5576361655773425,-3.8362977927652966,1.0,14.775152505446622,-0.7969993319126019,-5.394186839146337,1.0,13.06459635781843,0.9135568157155891,6.99261416652093,1.0,12.510587055262164,1.467566118271856,11.730593550800423,1.0,14.245353836206496,13.97815317353402,14.512554498878973,0.16429513088108483,14.175978086858434,14.314729585554558,-0.5576361655773427,1.0891006269402914e-173,0.9999999999999998,1.7715756590200258e-09,14.533589576486817,13.97815317353402,14.772226597036635,0.2330607336121274,14.478822989086876,14.588356163886758,-0.24872625448676225,2.805612941068004e-32,0.866077325653004,0.011690183606664916,14.1733691208462,13.074845086939709,14.775152505446622,0.5864245051843517,14.067368457340775,14.279369784351625,0.26159504315811777,1.510519686852946e-15,0.41802060332007424,0.028414725699399204,13.777849692759085,12.521769622879257,14.775152505446622,0.8036450244923256,13.655439839823561,13.90025954569461,0.343958019515352,3.364620669219846e-52,0.7524447487769996,0.015312643067542193
Pen 1,211228_220119,2022-01-08,5,14.775152505446622,num_pigs_lying,13.310565856729106,1.4645866487175159,11.003188478099897,1.0,12.77896867807239,1.9961838273742316,15.62085233685181,1.0,12.71085938641685,2.064293119029772,16.240389860938347,1.0,13.95998366013072,0.8151688453159025,5.839325210988602,1.0,14.073371402936145,13.37159030042567,14.775152505446622,0.4315079795597648,13.891161563416954,14.255581242455335,1.4645866487175154,2.229373462400725e-170,0.9999999999999996,6.5801961676099735e-09,13.397936656459112,12.790869831395142,14.775152505446622,0.5545257450033864,13.26762949485124,13.528243818066985,0.5830894390579917,1.21615438217894e-29,0.8407726003940524,0.03032883872344955,13.090146000092055,12.510587055262164,14.775152505446622,0.5734435076962855,12.986491750037182,13.193800250146928,0.35020382106186715,5.157349285196848e-41,0.7834717963139729,0.016948272167432363,13.019559646305538,12.376789422773744,14.775152505446622,0.5501918909214499,12.935755346644058,13.103363945967018,0.15697612014251427,2.2505335971557e-16,0.3343728970565204,0.017190143865414516
Pen 1,220726_220831,2022-08-15,1,16.91087446418073,num_pigs_lying,16.455766330099742,0.45510813408098727,2.765645336422499,1.0,14.265995252169875,2.6448792120108546,18.539745494507756,1.0,12.715365811500453,4.195508652680276,32.995579638657624,1.0,13.969207067194082,2.941667396986647,21.058227448678828,1.0,16.692801816600255,16.47472916901978,16.91087446418073,0.13408751990909287,16.636181622672236,16.749422010528274,0.45510813408098755,2.229373462400725e-170,0.9999999999999996,2.044741294310029e-09,16.181334833425435,14.356774685902423,16.91087446418073,0.676897054261007,16.022271823932623,16.340397842918247,0.6721685925626635,9.475484432770483e-23,0.7498299975949668,0.04640506730974851,15.069722484949141,12.738959844880446,16.91087446418073,1.4920105755963706,14.800030291713444,15.339414678184838,0.9956071606777787,4.841499141071935e-72,0.935395135267196,0.02408696408884379,14.573574217996619,12.715365811500453,16.91087446418073,1.4976725626900536,14.34545126251603,14.801697173477207,0.6519712384524211,3.3382585930530838e-56,0.7784225068686018,0.026997871344983205
Pen 1,220726_220831,2022-08-20,2,16.256993522031607,num_pigs_lying,16.5933509848298,-0.336357462798194,-2.027061701435131,1.0,16.776205966971435,-0.5192124449398285,-3.0949336575983906,1.0,16.91087446418073,-0.6538809421491223,-3.866629981401145,1.0,16.444701661751036,-0.18770813971942957,-1.1414505631076457,1.0,16.418164806289074,16.256993522031607,16.579336090546544,0.0991002678530438,16.376318433204077,16.46001117937407,-0.3363574627981943,3.4444921874999685e-218,1.0,0.0,16.56943537182068,16.256993522031607,16.769246231350415,0.12997171325391696,16.53889351655781,16.599977227083553,-0.1396878577928334,9.619995479119512e-34,0.8783573788066356,0.006213222340313867,16.597844448206583,16.256993522031607,16.891262257493477,0.13102874373160553,16.57416001201566,16.621528884397506,-0.05412585478473458,5.103303790715365e-13,0.35845881822613845,0.006665863251098282,16.590355509640354,16.256993522031607,16.91087446418073,0.13810330150869812,16.569319847983305,16.611391171297402,-0.009543188244278206,0.0701954855657209,0.019614223337550023,0.005236636029753992
Pen 1,220726_220831,2022-08-16,3,16.440181503686656,num_pigs_lying,16.91087446418073,-0.4706929604940733,-2.783374458198822,1.0,16.444701661751036,-0.004520158064380553,-0.02748701774805713,1.0,13.281622612620277,3.158558891066379,23.781423273276094,1.0,13.350242354710327,3.0899391489763293,23.14519142707634,1.0,16.665721880590066,16.440181503686656,16.891262257493477,0.13867924342588805,16.607162771868477,16.724280989311655,-0.47069296049407383,3.4444921874999685e-218,1.0,0.0,16.602996069013216,16.440181503686656,16.91087446418073,0.15485013004734433,16.566608072418113,16.63938406560832,0.09552124610412337,1.099652546391717e-06,0.2893532980952465,0.017892194611077668,15.800808615317079,13.322638139268177,16.91087446418073,1.1592233757972856,15.591270224783958,16.0103470058502,0.7006211617038821,3.6029139733620425e-39,0.7673528810837293,0.035513503797402264,15.004844541970133,12.715365811500453,16.91087446418073,1.5998740815070294,14.761154423741196,15.24853466019907,0.7422997716334493,1.2222528859320275e-79,0.8842586263833965,0.020843946337913172
Pen 1,220726_220831,2022-08-01,4,15.185878273550992,num_pigs_lying,16.661462754563725,-1.4755844810127332,-8.856272121777288,1.0,17.709208578621638,-2.5233303050706457,-14.248690413623466,1.0,17.908774646339804,-2.722896372788812,-15.204258396011017,1.0,,,,,15.892929170702926,15.185878273550992,16.59998006785486,0.434748246974057,15.70935108625311,16.07650725515274,-1.475584481012734,3.4444921874999685e-218,1.0,0.0,16.468156824571324,15.185878273550992,17.65249295761322,0.5694529228958191,16.33434194812874,16.60197170101391,-0.5855558902709049,1.7795883610139584e-26,0.8040307938117278,0.03455229584704352,16.95026401626851,15.185878273550992,17.893493020307258,0.740651854107459,16.81638559326974,17.08414243926728,-0.4794555381160715,3.1590156744504726e-56,0.880301287595886,0.016275577470595756,17.068979760435482,15.185878273550992,17.908774646339804,0.7252691435669847,16.949930003710833,17.188029517160132,-0.3665672968794257,3.305753966583433e-49,0.7823951700412689,0.01616616038908792
Pen 1,220726_220831,2022-08-06,5,14.685734632506401,num_pigs_lying,15.567404101212064,-0.8816694687056632,-5.663561265407231,1.0,15.022511919865275,-0.33677728735887413,-2.2418174081361917,1.0,15.185878273550992,-0.5001436410445912,-3.293478533379815,1.0,16.34803367441957,-1.6622990419131671,-10.168189490056127,1.0,15.108201252927865,14.685734632506401,15.530667873349328,0.25976435836954787,14.998512384370649,15.21789012148508,-0.881669468705663,3.4444921874999685e-218,1.0,0.0,15.411105050632564,14.685734632506401,15.818803967986433,0.3140124909807631,15.33731573286361,15.484894368401518,-0.15872491114148188,0.00010657988396253283,0.19428888871208724,0.03863329647892822,15.320106978986379,14.685734632506401,15.818803967986433,0.2706511472422128,15.271184737619334,15.369029220353424,0.025692508147164193,0.13398957929394403,0.018930241221724063,0.017026969954458387,15.572106007518496,14.685734632506401,16.661462754563725,0.5163204918054142,15.493460942168376,15.650751072868616,-0.15912717202177262,1.4608541201344848e-19,0.39015953294394135,0.015441067055276116
