Metric,Outbreak_Mean,Outbreak_Std,Control_Mean,Control_Std,P_Value,Is_Significant,Effect_Size
value_at_removal,-0.03606547010599507,0.36664325427308275,0.7341149973424401,0.11289318532345068,1.2208643991929289e-11,True,4.282893342377059
1d_window_avg,0.022159387597092028,0.36698989199239196,0.7341331933777375,0.10876100019992124,3.8766250318547576e-11,True,4.004512349717103
3d_window_avg,0.1621932999313908,0.36375597806457444,0.7342290343908923,0.1042774451013088,4.1154007644504806e-10,True,3.2793169680550136
5d_window_avg,0.28753053294844866,0.34250384651538646,0.732089126532346,0.10229586235060051,1.0561708164563014e-08,True,2.6726278062910263
7d_window_avg,0.38343077319294194,0.2971330110407575,0.7274179871761061,0.10263876235113936,1.5238608571450116e-07,True,2.2655110010816997
1d_window_slope,-0.1215127465107904,0.12384301118890563,-3.79743345337083e-05,0.03170981996320333,3.8562964964391644e-05,True,2.1104069799352376
3d_window_slope,-0.1404628510879117,0.11761528709300462,-2.350236127499173e-05,0.0257163413613803,8.712583458869187e-07,True,2.662507035270571
5d_window_slope,-0.12668805560657254,0.0890870081057146,0.0019265990130011203,0.02014334967569718,2.0813722317153397e-10,True,3.197103724684297
7d_window_slope,-0.10623019003081806,0.06205869744303334,0.0038744191398375678,0.017297886559841623,8.254726095146849e-12,True,3.7304106904691654
abs_change_1d,-0.12151274651079044,0.12384301118890569,-3.7974334533708575e-05,0.03170981996320334,3.8562964964391644e-05,True,2.1104069799352376
abs_change_3d,-0.408306317782033,0.33962277486611875,0.0002792244715628811,0.07562425438361069,3.761456426273412e-07,True,2.6726955356225157
abs_change_5d,-0.597769045905601,0.3666410894344907,0.012633820414701926,0.09749535333277186,1.8891317049040336e-11,True,3.546718340404186
abs_change_7d,-0.7125874286456652,0.3545782683968346,0.028396213518509104,0.11930987751580398,9.794861795105966e-12,True,4.038250441504356
