Metric,Outbreak_Mean,Outbreak_Std,Control_Mean,Control_Std,P_Value,Is_Significant,Effect_Size
activity_value_at_removal,0.5239289549664834,0.16614139022556632,0.5717023225481253,0.14028582424291489,0.13534967511298837,False,0.32714979910129877
activity_1d_window_avg,0.530086063199381,0.15783879683286944,0.5772919722875676,0.13737233110797306,0.12955804971349782,False,0.3327567573891688
activity_3d_window_avg,0.5336670206435052,0.13555752954751954,0.5885049168542603,0.13206711187640632,0.06380561945449903,False,0.4129388177134239
activity_5d_window_avg,0.5313954714045382,0.11788372666568538,0.5962581374011798,0.12389678160649456,0.018457179665583297,True,0.5287443062228595
activity_7d_window_avg,0.5375497849521599,0.11501981867285806,0.6027683099361745,0.11949238869156491,0.017367722631373626,True,0.5500053019394512
activity_1d_window_slope,-0.0128496171816988,0.052367158986011506,-0.01166535597796661,0.04486894439597971,0.7243155566081201,False,0.02545448239461127
activity_3d_window_slope,-0.0013922248185828886,0.04721197531579749,-0.010516191157060343,0.03455299686162287,0.5684615833076154,False,0.24309120207765808
activity_5d_window_slope,0.001215633343496206,0.030378870054960358,-0.008351986104070933,0.025749451619495857,0.07409959393476945,False,0.3573183600088989
activity_7d_window_slope,-0.0038383864663967355,0.018077871604770604,-0.006392972641349987,0.020021884739764195,0.5633837209314676,False,0.13010870174636008
activity_abs_change_1d,-0.0128496171816988,0.052367158986011526,-0.011665355977966611,0.04486894439597972,0.7243155566081201,False,0.025454482394611226
activity_abs_change_3d,-0.0024482647327535843,0.12907053943499025,-0.028991294317565534,0.09769051675527245,0.5138434512378571,False,0.2528447224510648
activity_abs_change_5d,-0.006206793437196163,0.12363060466943071,-0.04461851768419887,0.10267607403934141,0.17919086121926908,False,0.3577776983793862
activity_abs_change_7d,-0.050074913812891586,0.11640966496747486,-0.04973304999616902,0.11130091545723622,0.9936110429672473,False,0.0030402824099508476
