pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group
Pen 1,220228_220328,0,2022-03-23,0.3876475291768524,0.6123524708231477,-0.22470494164629526,outbreak
Pen 1,220228_220328,1,2022-03-22,0.5280865904517285,0.4719134095482715,0.05617318090345702,outbreak
Pen 1,220228_220328,2,2022-03-21,0.6823337624862232,0.3176662375137768,0.3646675249724464,outbreak
Pen 1,220228_220328,3,2022-03-20,0.7674965510626718,0.2325034489373283,0.5349931021253433,outbreak
Pen 1,220228_220328,4,2022-03-19,0.855052451700613,0.1449475482993871,0.7101049034012258,outbreak
Pen 1,220228_220328,5,2022-03-18,0.8958195451072856,0.10418045489271455,0.7916390902145709,outbreak
Pen 1,220228_220328,6,2022-03-17,0.8872216877294496,0.11277831227055046,0.7744433754588992,outbreak
Pen 1,220228_220328,7,2022-03-16,0.871162651329365,0.1288373486706352,0.7423253026587298,outbreak
Pen 1,220228_220328,8,2022-03-15,0.8520998963231654,0.14790010367683457,0.7041997926463308,outbreak
Pen 1,220228_220328,9,2022-03-14,0.8265265624163377,0.17347343758366238,0.6530531248326753,outbreak
Pen 1,220228_220328,10,2022-03-13,0.8018552544601216,0.19814474553987835,0.6037105089202434,outbreak
Pen 1,220726_220831,0,2022-08-31,0.604069744273092,0.395930255726908,0.208139488546184,outbreak
Pen 1,220726_220831,1,2022-08-30,0.6017945420704623,0.3982054579295377,0.20358908414092458,outbreak
Pen 1,220726_220831,2,2022-08-29,0.5924038603147,0.4075961396852999,0.18480772062940012,outbreak
Pen 1,220726_220831,3,2022-08-28,0.6218031943315167,0.3781968056684833,0.24360638866303333,outbreak
Pen 1,220726_220831,4,2022-08-27,0.6875507818329272,0.3124492181670728,0.37510156366585434,outbreak
Pen 1,220726_220831,5,2022-08-26,0.7623681034121524,0.23763189658784753,0.5247362068243049,outbreak
Pen 1,220726_220831,6,2022-08-25,0.7571688630349223,0.24283113696507774,0.5143377260698444,outbreak
Pen 1,220726_220831,7,2022-08-24,0.7345398946877776,0.26546010531222236,0.46907978937555533,outbreak
Pen 1,220726_220831,8,2022-08-23,0.7211657523309678,0.27883424766903225,0.44233150466193555,outbreak
Pen 1,220726_220831,9,2022-08-22,0.7286798299748155,0.27132017002518455,0.45735965994963096,outbreak
Pen 1,220726_220831,10,2022-08-21,0.7257868544620516,0.2742131455379483,0.45157370892410337,outbreak
Pen 1,221003_221106,0,2022-10-31,0.29984051886972485,0.700159481130275,-0.4003189622605503,outbreak
Pen 1,221003_221106,1,2022-10-30,0.32195415880852446,0.6780458411914756,-0.356091682382951,outbreak
