pen,datespan,days_before_removal,lying_pigs,not_lying_pigs,group
Pen 1,211228_220119,-1,14.528352966570173,9.511767011317021,control
Pen 1,211228_220119,-3,14.535789339111362,9.499154689886831,control
Pen 1,211228_220119,-5,14.775152505446622,9.242745098039215,control
Pen 1,211228_220119,-7,13.06459635781843,10.935763350792797,control
Pen 1,211228_220119,0,15.291677337601707,8.78588279756347,control
Pen 1,211228_220119,-1,14.775152505446622,9.511767011317021,control
Pen 1,211228_220119,-3,13.06459635781843,9.499154689886831,control
Pen 1,211228_220119,-5,12.510587055262164,9.242745098039215,control
Pen 1,211228_220119,-7,12.376789422773744,10.935763350792797,control
Pen 1,211228_220119,0,14.704930703606948,8.78588279756347,control
Pen 1,211228_220119,-1,13.97815317353402,9.511767011317021,control
Pen 1,211228_220119,-3,14.704930703606948,9.499154689886831,control
Pen 1,211228_220119,-5,13.310565856729106,9.242745098039215,control
Pen 1,211228_220119,-7,12.77896867807239,10.935763350792797,control
Pen 1,211228_220119,0,14.528352966570173,8.78588279756347,control
Pen 1,211228_220119,-1,12.376789422773744,9.511767011317021,control
Pen 1,211228_220119,-3,12.531068610077028,9.499154689886831,control
Pen 1,211228_220119,-5,12.745941164887952,9.242745098039215,control
Pen 1,211228_220119,0,12.71085938641685,8.78588279756347,control
Pen 1,211228_220119,-1,12.510587055262164,9.511767011317021,control
Pen 1,211228_220119,-3,12.376789422773744,9.499154689886831,control
Pen 1,211228_220119,-5,12.531068610077028,9.242745098039215,control
Pen 1,211228_220119,-7,12.745941164887952,10.935763350792797,control
Pen 1,211228_220119,0,12.77896867807239,8.78588279756347,control
Pen 1,220726_220831,-1,16.5933509848298,7.429567351065647,control
Pen 1,220726_220831,-3,16.776205966971435,7.247333863285572,control
Pen 1,220726_220831,-5,16.91087446418073,7.116151206302163,control
Pen 1,220726_220831,-7,16.444701661751036,7.599934647389165,control
Pen 1,220726_220831,0,16.256993522031607,7.77012544836715,control
Pen 1,220726_220831,-1,16.776205966971435,7.429567351065647,control
Pen 1,220726_220831,-3,16.91087446418073,7.247333863285572,control
Pen 1,220726_220831,-5,16.444701661751036,7.116151206302163,control
Pen 1,220726_220831,-7,13.281622612620277,7.599934647389165,control
Pen 1,220726_220831,0,16.60917231206696,7.77012544836715,control
Pen 1,220726_220831,-1,16.444701661751036,7.429567351065647,control
Pen 1,220726_220831,-3,13.281622612620277,7.247333863285572,control
Pen 1,220726_220831,-5,13.350242354710327,7.116151206302163,control
