pen,datespan,days_before_removal,lying_pigs,not_lying_pigs,group
Pen 1,220228_220328,-1,11.491765391717728,12.04411037125349,outbreak
Pen 1,220228_220328,-3,13.138204897620872,10.941167088916865,outbreak
Pen 1,220228_220328,-5,13.053683242735604,10.93401622678718,outbreak
Pen 1,220228_220328,-7,12.284753920675081,11.600679258340222,outbreak
Pen 1,220228_220328,0,10.022611748391697,12.792588837852321,outbreak
Pen 1,221003_221106,-1,12.861114833462354,9.878955631876103,outbreak
Pen 1,221003_221106,-3,13.013989647128666,9.943700584850511,outbreak
Pen 1,221003_221106,-5,12.999097193139702,10.568624839226798,outbreak
Pen 1,221003_221106,-7,12.357613423961965,11.536940524205596,outbreak
Pen 1,221003_221106,0,12.756465811769536,9.643158943241373,outbreak
Pen 1,221219_230125,-1,14.663354970871788,9.285465477742267,outbreak
Pen 1,221219_230125,-3,14.937513800920145,9.041929056463093,outbreak
Pen 1,221219_230125,-5,15.06299412833934,8.90519011202183,outbreak
Pen 1,221219_230125,-7,14.616267876628678,9.367343872536052,outbreak
Pen 1,221219_230125,0,14.588474241000663,9.039105898363038,outbreak
Pen 1,230227_230406,-1,13.986785748486442,9.801737901709165,outbreak
Pen 1,230227_230406,-3,13.884832341876598,10.1329783553225,outbreak
Pen 1,230227_230406,-5,13.615582322904615,10.401554172104229,outbreak
Pen 1,230227_230406,-7,14.182468013967375,9.863116114806147,outbreak
Pen 1,230227_230406,0,13.754762367327743,9.64290024342707,outbreak
Pen 1,230515_230620,-1,17.415972201080077,7.3278404043970005,outbreak
Pen 1,230515_230620,-3,17.448328750907283,7.359745423577952,outbreak
Pen 1,230515_230620,-5,17.101069405735426,7.611306910990308,outbreak
Pen 1,230515_230620,-7,17.366827537017198,7.542446448021892,outbreak
Pen 1,230515_230620,0,17.719366139719142,7.168253467912962,outbreak
Pen 2,220228_220331,-1,9.255034884656022,9.391858724286475,outbreak
Pen 2,220228_220331,-3,9.21751993236512,8.551404982402216,outbreak
Pen 2,220228_220331,-5,9.265373830072363,8.53268110907206,outbreak
Pen 2,220228_220331,-7,7.530475808048853,10.626359381927891,outbreak
Pen 2,220228_220331,0,8.90803550260787,10.096720898530112,outbreak
Pen 2,221003_221106,-1,10.615330281141814,6.408635773403341,outbreak
Pen 2,221003_221106,-3,10.680571957227901,7.005809421154582,outbreak
Pen 2,221003_221106,-5,9.39269335008914,8.86265215514962,outbreak
Pen 2,221003_221106,-7,8.978733627527339,8.382343158125549,outbreak
Pen 2,221003_221106,0,10.27498314850034,6.520615524210312,outbreak
Pen 2,230515_230621,-1,4.556218138212659,9.632187274017243,outbreak
Pen 2,230515_230621,-3,4.608848212220153,8.693279825376418,outbreak
Pen 2,230515_230621,-5,4.699168021848663,7.90233505168838,outbreak
Pen 2,230515_230621,-7,4.56358553529148,6.764502327948708,outbreak
Pen 2,230515_230621,0,4.717231367815774,9.860036588367448,outbreak
Pen 3,220228_220330,-1,11.906676987690332,10.99005119231874,outbreak
Pen 3,220228_220330,-3,12.496786225989432,10.633343833165886,outbreak
Pen 3,220228_220330,-5,11.808751819200607,11.342510203757138,outbreak
Pen 3,220228_220330,-7,11.192700627933865,11.858155714379494,outbreak
Pen 3,220228_220330,0,11.978915379674214,10.841220875893612,outbreak
Pen 3,221003_221106,-1,11.467591140365256,12.187961187537946,outbreak
