days_before_removal,lying_mean,lying_std,lying_count,lying_min,lying_max,not_lying_mean,not_lying_std,not_lying_count,not_lying_min,not_lying_max,group,total_pigs_mean,lying_percentage
-7,11.443362624535624,3.1076526717526836,20,4.56358553529148,17.366827537017198,9.633234275247553,1.802295800518018,20,6.764502327948708,11.88115017992884,outbreak,21.076596899783176,54.294166553298496
-5,11.885464513060716,3.0533941784227947,20,4.699168021848663,17.101069405735426,9.360263877012127,1.4956901069558832,20,6.417995659413606,11.88345872767402,outbreak,21.24572839007284,55.94284316754351
-3,12.10762395122962,3.0842653159420363,20,4.608848212220153,17.448328750907283,9.137828430173885,1.4701609060330603,20,6.414343951683909,11.595381910669694,outbreak,21.245452381403503,56.989249905676864
-1,12.00741956182814,3.034799197079527,20,4.556218138212659,17.415972201080077,9.183560904784937,1.8086485606124036,20,5.858353435766774,12.187961187537946,outbreak,21.190980466613077,56.662878722134316
0,12.06271564597064,3.1409573241937894,20,4.717231367815774,17.719366139719142,8.842452061178752,1.948459167728383,20,5.9661968796129825,12.792588837852321,outbreak,20.905167707149392,57.70207546263928
-7,10.278486814903038,3.689237641705803,79,2.246269065035284,16.60917231206696,9.250566906776594,1.6193198402153155,79,6.684466230936818,12.20367508885988,control,19.52905372167963,52.631770905994614
-5,10.299969414861756,3.4947498193951416,100,3.2304556014742354,16.91087446418073,9.359650726532136,1.7704889388534213,100,6.4908138010158,12.52417936075419,control,19.659620141393894,52.39149760159849
-3,10.536135072308902,3.516403215053119,100,2.790917155560764,17.85027906502937,9.567046102864548,1.6875693834074486,100,6.552377644646742,13.184742264574254,control,20.10318117517345,52.4102876082148
-1,10.88909098985461,3.5886723143377024,100,2.7026159772858276,17.501127697561646,9.619911689159302,1.7068536868437654,100,6.344288287295577,13.390507647557088,control,20.50900267901391,53.09420043616752
0,11.163274770396477,3.565415392563051,100,2.246269065035284,17.422017625940658,9.45637480638982,1.580043454087268,100,6.270373515774351,12.8467059046377,control,20.619649576786294,54.13901302650724
