Metric,Value
dataset_info_outbreak_data_count,20
dataset_info_outbreak_data_pens,6
dataset_info_control_data_count,100
dataset_info_control_data_pens,6
value_comparison_SB: Bei Entfernung/Ref_count,20
value_comparison_SB: Bei Entfernung/Ref_mean,-0.03606547010599507
value_comparison_SB: Bei Entfernung/Ref_median,-0.1096846213820207
value_comparison_SB: Bei Entfernung/Ref_std,0.3573596397311238
value_comparison_SB: Bei Entfernung/Ref_min,-0.5664579352496172
value_comparison_SB: Bei Entfernung/Ref_max,0.6350941644117436
value_comparison_SB: Bei Entfernung/Ref_percentiles_25,-0.31972834633497776
value_comparison_SB: Bei Entfernung/Ref_percentiles_75,0.21532306508250237
value_comparison_Ktrl: Bei Entfernung/Ref_count,100
value_comparison_Ktrl: Bei Entfernung/Ref_mean,0.7292079847733972
value_comparison_Ktrl: Bei Entfernung/Ref_median,0.7347662030524049
value_comparison_Ktrl: Bei Entfernung/Ref_std,0.11381029173904182
value_comparison_Ktrl: Bei Entfernung/Ref_min,0.3725746846454527
value_comparison_Ktrl: Bei Entfernung/Ref_max,0.9054805846498314
value_comparison_Ktrl: Bei Entfernung/Ref_percentiles_25,0.6755491015975769
value_comparison_Ktrl: Bei Entfernung/Ref_percentiles_75,0.8227703109346941
value_comparison_SB: 1T vorher_count,20
value_comparison_SB: 1T vorher_mean,0.08544727640479541
value_comparison_SB: 1T vorher_median,0.07997220673780936
value_comparison_SB: 1T vorher_std,0.3685088388104629
value_comparison_SB: 1T vorher_min,-0.5594656585157655
value_comparison_SB: 1T vorher_max,0.8024804749311037
value_comparison_SB: 1T vorher_percentiles_25,-0.11903500280181799
value_comparison_SB: 1T vorher_percentiles_75,0.2729766923049373
value_comparison_Ktrl: 1T vorher_count,100
value_comparison_Ktrl: 1T vorher_mean,0.7269806793725541
value_comparison_Ktrl: 1T vorher_median,0.7336559631011903
value_comparison_Ktrl: 1T vorher_std,0.11591982995829825
value_comparison_Ktrl: 1T vorher_min,0.3452667875094508
value_comparison_Ktrl: 1T vorher_max,0.9117367897780149
value_comparison_Ktrl: 1T vorher_percentiles_25,0.6723064847879967
value_comparison_Ktrl: 1T vorher_percentiles_75,0.8204773257253135
value_comparison_SB: 3T vorher_count,20
value_comparison_SB: 3T vorher_mean,0.372240847676038
value_comparison_SB: 3T vorher_median,0.4717762473615317
value_comparison_SB: 3T vorher_std,0.3892731006300123
value_comparison_SB: 3T vorher_min,-0.524434609338501
value_comparison_SB: 3T vorher_max,0.9065728026753445
value_comparison_SB: 3T vorher_percentiles_25,0.23122277593891283
value_comparison_SB: 3T vorher_percentiles_75,0.6424666384772271
value_comparison_Ktrl: 3T vorher_count,100
value_comparison_Ktrl: 3T vorher_mean,0.7179771510652675
value_comparison_Ktrl: 3T vorher_median,0.7284552404680541
value_comparison_Ktrl: 3T vorher_std,0.12154740027701047
value_comparison_Ktrl: 3T vorher_min,0.26659684370515785
value_comparison_Ktrl: 3T vorher_max,0.9117367897780149
value_comparison_Ktrl: 3T vorher_percentiles_25,0.6683070177029389
value_comparison_Ktrl: 3T vorher_percentiles_75,0.8003793967043347
value_comparison_SB: 5T vorher_count,20
value_comparison_SB: 5T vorher_mean,0.561703575799606
value_comparison_SB: 5T vorher_median,0.6739943655366826
value_comparison_SB: 5T vorher_std,0.28278798353468365
value_comparison_SB: 5T vorher_min,-0.016292651162847487
value_comparison_SB: 5T vorher_max,0.8997655078180746
value_comparison_SB: 5T vorher_percentiles_25,0.31563839833591967
value_comparison_SB: 5T vorher_percentiles_75,0.7563977006674746
value_comparison_Ktrl: 5T vorher_count,100
value_comparison_Ktrl: 5T vorher_mean,0.7021820428188957
value_comparison_Ktrl: 5T vorher_median,0.7223230856608005
value_comparison_Ktrl: 5T vorher_std,0.12638967141206278
value_comparison_Ktrl: 5T vorher_min,0.2891150543373852
value_comparison_Ktrl: 5T vorher_max,0.9033576992770603
value_comparison_Ktrl: 5T vorher_percentiles_25,0.6424290251218978
value_comparison_Ktrl: 5T vorher_percentiles_75,0.7987633148497506
value_comparison_SB: 7T vorher_count,20
value_comparison_SB: 7T vorher_mean,0.6765219585396701
value_comparison_SB: 7T vorher_median,0.7486493797978429
value_comparison_SB: 7T vorher_std,0.17628172001016154
value_comparison_SB: 7T vorher_min,0.22782292762366085
value_comparison_SB: 7T vorher_max,0.9007697811889348
value_comparison_SB: 7T vorher_percentiles_25,0.5705729660953565
value_comparison_SB: 7T vorher_percentiles_75,0.7842732116883773
value_comparison_Ktrl: 7T vorher_count,88
value_comparison_Ktrl: 7T vorher_mean,0.7009730059156115
value_comparison_Ktrl: 7T vorher_median,0.7228001063518212
value_comparison_Ktrl: 7T vorher_std,0.1278145694180378
value_comparison_Ktrl: 7T vorher_min,0.26659684370515785
value_comparison_Ktrl: 7T vorher_max,0.8922200824614316
value_comparison_Ktrl: 7T vorher_percentiles_25,0.6341835614202538
value_comparison_Ktrl: 7T vorher_percentiles_75,0.8003130970945703
trajectory_comparison_outbreak_days,"[-7, -5, -3, -1, 0]"
trajectory_comparison_outbreak_mean_values,"[0.6765219585396701, 0.561703575799606, 0.372240847676038, 0.08544727640479541, -0.03606547010599507]"
trajectory_comparison_outbreak_std_values,"[0.18086122859876208, 0.2901343493363984, 0.3993857742954584, 0.37808209117157243, 0.36664325427308275]"
trajectory_comparison_outbreak_sample_counts,"[20, 20, 20, 20, 20]"
trajectory_comparison_control_days,"[-7, -5, -3, -1, 0]"
