pen,datespan,reference_date,sample_id,value_at_reference,metric,value_1d_before,abs_change_1d,pct_change_1d,ttest_pvalue_1d,value_3d_before,abs_change_3d,pct_change_3d,ttest_pvalue_3d,value_5d_before,abs_change_5d,pct_change_5d,ttest_pvalue_5d,value_7d_before,abs_change_7d,pct_change_7d,ttest_pvalue_7d,1d_window_avg,1d_window_min,1d_window_max,1d_window_std,1d_window_ci_lower,1d_window_ci_upper,1d_window_slope,1d_window_slope_p_value,1d_window_slope_r_squared,1d_window_slope_std_err,3d_window_avg,3d_window_min,3d_window_max,3d_window_std,3d_window_ci_lower,3d_window_ci_upper,3d_window_slope,3d_window_slope_p_value,3d_window_slope_r_squared,3d_window_slope_std_err,5d_window_avg,5d_window_min,5d_window_max,5d_window_std,5d_window_ci_lower,5d_window_ci_upper,5d_window_slope,5d_window_slope_p_value,5d_window_slope_r_squared,5d_window_slope_std_err,7d_window_avg,7d_window_min,7d_window_max,7d_window_std,7d_window_ci_lower,7d_window_ci_upper,7d_window_slope,7d_window_slope_p_value,7d_window_slope_r_squared,7d_window_slope_std_err
Pen 1,211228_220119,2022-01-12,1,0.5379869000325282,activity,0.5806395704308874,-0.04265267039835918,-7.3458084103201955,1.0,0.4837963805115735,0.05419051952095477,11.201100649751226,1.0,0.5918399840923262,-0.05385308405979794,-9.099264244944447,1.0,0.6460234446903673,-0.10803654465783907,-16.723316397537232,1.0,0.558424637931742,0.5379869000325282,0.5788623758309558,0.012566663530997703,0.5531182013100813,0.5637310745534028,-0.04265267039835914,4.564626100491149e-167,0.9999999999999991,2.71009799343643e-10,0.5392541823960721,0.4855174632956159,0.5806395704308874,0.027809291225045434,0.532719319337838,0.5457890454543063,0.025615056368350958,2.095122816065007e-17,0.6451525506489,0.0022705754117451292,0.5275465002517467,0.4837963805115735,0.5873634297625001,0.033659340922252645,0.5214623198681311,0.5336306806353622,0.01061298933388308,1.5479949292367915e-07,0.20884646403833512,0.0019015753871164521,0.5531290836116657,0.4837963805115735,0.6447878091502426,0.05023258579033625,0.5454777409768369,0.5607804262464945,-0.012425541876263903,4.4628518036049225e-12,0.2513343583258237,0.0016644828067794214
Pen 1,211228_220119,2022-01-08,2,0.4844026801764994,activity,0.5918399840923262,-0.10743730391582679,-18.153099960050472,1.0,0.6460234446903673,-0.16162076451386792,-25.01778624943421,1.0,0.6785729213775916,-0.19417024120109222,-28.61449891146574,1.0,0.6007240905971174,-0.116321410420618,-19.36353348256684,1.0,0.5358830549694997,0.4844026801764994,0.5873634297625001,0.03165401922970048,0.5225167349077817,0.5492493750312177,-0.10743730391582677,2.229373462400725e-170,0.9999999999999996,4.827017480354125e-10,0.5900180463308088,0.4844026801764994,0.6447878091502426,0.04444369632438366,0.5795742897125163,0.6004618029491012,-0.048071477437734246,3.1855147171713785e-35,0.8896234541127754,0.0020238286401274147,0.6218431713531309,0.4844026801764994,0.6785299516883961,0.05249809401051862,0.6123537439013641,0.6313325988048978,-0.03436953104691717,6.1860459619982335e-61,0.9003741697993333,0.0010524635549738856,0.6382419853688257,0.4844026801764994,0.7172076841875106,0.05396130484244749,0.6300226905450375,0.646461280192614,-0.021714395024496888,2.75752185125676e-41,0.665154968609178,0.0011957880248640066
Pen 1,211228_220119,2022-01-13,3,0.45682941242562075,activity,0.5379869000325282,-0.0811574876069075,-15.08540219139174,1.0,0.5251023673285915,-0.06827295490297075,-13.001837194203281,1.0,0.4844026801764994,-0.02757326775087865,-5.692220311587028,1.0,0.6163681917273726,-0.1595387793017518,-25.883681449336994,1.0,0.4957173752372639,0.45682941242562075,0.5346053380489071,0.023911254096211445,0.48562053814975914,0.5058142123247686,-0.08115748760690744,1.928035222289203e-168,0.9999999999999993,4.4657868833859086e-10,0.5360566690377921,0.45682941242562075,0.5806395704308874,0.03393318161405949,0.5280827622890161,0.5440305757865682,-0.028445555699577445,3.095134790084873e-13,0.5343567611193699,0.003173776927813901,0.5195133643052995,0.45682941242562075,0.5806395704308874,0.03427869726553182,0.5133172305794319,0.5257094980311671,0.007112355523267733,0.0008456399894409544,0.09043596658442231,0.0020764357660628657,0.5338632800114451,0.45682941242562075,0.6153461830759123,0.04277621179050937,0.5273476796719508,0.5403788803509394,-0.007762654552019894,9.363168240719225e-07,0.13527206943561934,0.0015233226245157413
Pen 1,211228_220119,2022-01-02,4,0.7172076841875106,activity,0.6007240905971174,0.11648359359039318,19.390531429263795,1.0,0.7022496688318869,0.014958015355623688,2.130013871064498,1.0,0.6075598117400967,0.10964787244741392,18.047255649344915,1.0,,,,,0.6613926289254471,0.6055775736633838,0.7172076841875106,0.03431930788531036,0.6469008561694211,0.6758844016814732,0.11648359359039316,3.4444921874999685e-218,1.0,0.0,0.6784457516457346,0.6007240905971174,0.724572862510479,0.038258060706047745,0.6694555481355327,0.6874359551559366,-0.02277744538213127,2.974642507411354e-06,0.2695353620076569,0.004481750923281438,0.6747344869300083,0.6007240905971174,0.724572862510479,0.034764810035748814,0.6684504846452283,0.6810184892147882,0.0007288363691073544,0.7418136531932762,0.0009233008544002998,0.002207073664628288,0.6741793243251331,0.6007240905971174,0.724572862510479,0.035154136091527045,0.6678518022423169,0.6805068464079492,0.0013661880575886755,0.536079545368479,0.003225593100775713,0.0022015606414086714
Pen 1,211228_220119,2022-01-05,5,0.6460234446903673,activity,0.677541648836899,-0.031518204146531725,-4.651847484304088,1.0,0.7172076841875106,-0.07118423949714325,-9.925191972501576,1.0,0.724572862510479,-0.07854941782011171,-10.840789364917141,1.0,0.6814577340707665,-0.035434289380399164,-5.199778006587194,1.0,0.6611259175105805,0.6460234446903673,0.6762283903307935,0.009286139951181056,0.6572047245074205,0.6650471105137404,-0.031518204146531704,1.0891006269402914e-173,0.9999999999999998,1.0013138804261285e-10,0.6787490432213019,0.6460234446903673,0.715597902403764,0.016992505404412255,0.6747560002150806,0.6827420862275232,-0.018617464973058738,8.20971750958243e-39,0.9128047355712748,0.0006877475195117218,0.6715416104789912,0.6007240905971174,0.7194124970140889,0.02712962262498985,0.6666377260514523,0.67644549490653,0.0011735853202829425,0.4963139334479346,0.003931015158059569,0.0017197527569984853,0.6805530359085656,0.6007240905971174,0.724572862510479,0.027808549220173038,0.6763172846544071,0.6847887871627242,-0.004586559864491675,9.492360414083474e-06,0.11174027226135613,0.0010036866459675463
Pen 1,220726_220831,2022-08-22,1,0.2677813080476226,activity,0.30082752704368165,-0.03304621899605903,-10.985104761127978,1.0,0.3363727163373417,-0.0685914082897191,-20.391489843941475,1.0,0.32179123146505845,-0.05400992341743582,-16.784150137198647,1.0,0.29834282951568875,-0.030561521468066122,-10.243759341452181,1.0,0.2836159546499009,0.2677813080476226,0.2994506012521792,0.009736335643620437,0.27950466067814406,0.28772724862165777,-0.03304621899605903,3.4444921874999685e-218,1.0,0.0,0.3225985569562185,0.2677813080476226,0.366320119305194,0.03182868945434192,0.31511918161996894,0.330077932292468,-0.03292208162804344,3.092285423946014e-27,0.8135583147132041,0.0018837160291881613,0.33111722119635745,0.2677813080476226,0.366320119305194,0.027359630382814647,0.3261717611274099,0.336062681265305,-0.012836367963060147,1.3338193503118456e-17,0.4624095031784776,0.0012741294977838078,0.33295586426827084,0.2677813080476226,0.366320119305194,0.02495161398718367,0.329155276564011,0.3367564519725307,-0.005569927109721686,7.425728776727358e-10,0.204688759714119,0.000852151927836311
Pen 1,220726_220831,2022-07-31,2,0.38364960399513753,activity,0.38810714140686614,-0.004457537411728607,-1.1485326952681905,1.0,0.3016531265799518,0.08199647741518573,27.182372795149178,1.0,0.3212916020833132,0.062358001911824334,19.408537760552626,1.0,,,,,0.38578550733825745,0.38364960399513753,0.3879214106813774,0.0013133145546775104,0.38523094323844603,0.38634007143806887,-0.004457537411728599,3.4444921874999685e-218,1.0,0.0,0.338937459713055,0.2843456124986044,0.38810714140686614,0.042169984552930966,0.3290279991665357,0.3488469202595743,0.0444387446786283,5.369973633390448e-30,0.8444390488423241,0.0022797063206493016,0.3191274839660821,0.2677618112659332,0.38810714140686614,0.04157406628626203,0.3116126571264757,0.3266423108056885,0.02332098193330485,1.713003819020485e-29,0.6610153482507837,0.0015374113204156537,0.3191453692397782,0.2677618112659332,0.38810714140686614,0.041400946066358905,0.31169346088389327,0.32659727759566315,0.022726404677467504,1.9994109754838167e-28,0.6435501738806315,0.0015504767299016522
Pen 1,220726_220831,2022-08-16,3,0.36454940503178995,activity,0.29834282951568875,0.06620657551610121,22.19144184680988,1.0,0.3385587272725716,0.025990677759218372,7.676859482725263,1.0,0.49092512519948134,-0.12637572016769139,-25.74236144795811,1.0,0.58688548505158,-0.22233608001979005,-37.884065236380735,1.0,0.3328254209303248,0.30110143682885965,0.36454940503178995,0.019506299377739338,0.32458863308955926,0.34106220877109034,0.06620657551610118,1.0891006269402914e-173,0.9999999999999998,2.1033420156664542e-10,0.33172410554372006,0.29834282951568875,0.36454940503178995,0.016169370653839107,0.32792448972087934,0.3355237213665608,-0.0030172210547756402,0.17204002099545274,0.02647766317913559,0.002186710263305164,0.36611695536868655,0.29834282951568875,0.48813011306338033,0.05228613676671561,0.35666584079143177,0.37556806994594133,-0.03030836500091696,3.841067080493995e-33,0.7058538621028378,0.0018011325826950667,0.41459088045497094,0.29834282951568875,0.5847088088152399,0.08987336357790313,0.4009015214928574,0.4282802394170845,-0.04183943176160232,1.5016879637427204e-81,0.8902291695598935,0.0011403135848392929
Pen 1,220726_220831,2022-08-04,4,0.41193387530445436,activity,0.4865035663805329,-0.07456969107607853,-15.327676142409135,1.0,0.5073639364387359,-0.09543006113428154,-18.808995728809492,1.0,0.38810714140686614,0.023826733897588215,6.139215529819335,1.0,0.3016531265799518,0.11028074872450255,36.55879518797997,1.0,0.447665185611742,0.41193387530445436,0.4833964959190296,0.021970305929533803,0.4383879390549297,0.45694243216855435,-0.07456969107607854,1.0891006269402914e-173,0.9999999999999998,2.369033032035308e-10,0.4875290534675799,0.41193387530445436,0.5184228144242425,0.03187301144605944,0.4800392629738926,0.4950188439612672,-0.0326273079694011,6.31552234368135e-26,0.7968341056303989,0.001969126728893384,0.4592913639767684,0.38364960399513753,0.5184228144242425,0.04960555686110969,0.45032478448640295,0.46825794346713384,0.017228926802908915,4.624165475654344e-09,0.25340704239241535,0.0027223867772779428,0.41821195595496413,0.2843456124986044,0.5184228144242425,0.07924764665926433,0.4061410882491944,0.43028282366073384,0.032482030090627716,4.3970421610244205e-44,0.690090163473438,0.0016894832183345723
Pen 1,220726_220831,2022-08-20,5,0.366320119305194,activity,0.3363727163373417,0.029947402967852255,8.903041630112051,1.0,0.32179123146505845,0.044528887840135534,13.837818898110864,1.0,0.29834282951568875,0.06797728978950524,22.784958465351878,1.0,0.3385587272725716,0.0277613920326224,8.199874880280925,1.0,0.35197032204976475,0.3376205247943356,0.366320119305194,0.008823338215622693,0.348244553080365,0.3556960910191645,0.029947402967852237,2.229373462400725e-170,0.9999999999999996,1.3454976283683238e-10,0.34658691905429895,0.32331679183222656,0.366320119305194,0.009873458951405649,0.34426676994886535,0.34890706815973255,0.006585218914801244,8.435567614625855e-08,0.33826215479785027,0.0011008736527456115,0.3429731402118011,0.30110143682885965,0.366320119305194,0.013825526520280353,0.3404740717528511,0.34547220867075107,0.004665436097739653,1.4433777575607832e-08,0.23921258172461962,0.0007659331975281242,0.33960179953712016,0.29834282951568875,0.366320119305194,0.014942555061835679,0.33732577478507775,0.3418778242891626,0.00327637261825662,1.5967627375779347e-09,0.19748272107679132,0.0005126274859162804
