Metric,Outbreak_Mean,Outbreak_Std,Control_Mean,Control_Std,P_Value,Is_Significant,Effect_Size
activity_value_at_removal,0.5375850206265215,0.15781936492810966,0.5830844860862707,0.13617240488373503,0.14787244262009724,False,0.32526480019478965
activity_1d_window_avg,0.5490493103662347,0.14941510079936313,0.5876814279660657,0.13447058671450776,0.23540861682265346,False,0.282012867312581
activity_3d_window_avg,0.5530866882505926,0.13005896855154045,0.5950575032592382,0.1282017838863469,0.14591048884889757,False,0.3266144307471761
activity_5d_window_avg,0.5500778929218272,0.10939981192473146,0.6000485363289025,0.12186875957610928,0.06252519620487541,False,0.41660036725086347
activity_7d_window_avg,0.5564216845147,0.10343129631499888,0.6058980021030511,0.11805994137441442,0.06252519620487541,False,0.4271484021446996
activity_1d_window_slope,-0.02392547423940123,0.06348287009732331,-0.009593617836093974,0.05245424544472348,0.26136735193830574,False,0.2635437163548441
activity_3d_window_slope,-0.0009670139391958023,0.04723744783404393,-0.006548992585298936,0.03371776238047592,0.7754967349296334,False,0.15404094176569003
activity_5d_window_slope,0.0019638513823336855,0.032205420386881886,-0.005495024412744287,0.024131687696720312,0.13273032984233704,False,0.2913141034258859
activity_7d_window_slope,-0.003718071695820179,0.019477175209101114,-0.005131360337146689,0.020195162726277072,0.6496882513993594,False,0.07037838407433279
activity_abs_change_1d,-0.02392547423940123,0.06348287009732335,-0.009593617836093976,0.0524542454447235,0.26136735193830574,False,0.2635437163548439
activity_abs_change_3d,-0.00600877305426876,0.12732111969494816,-0.017961510973101474,0.0952579418809341,0.9242638838113739,False,0.11821544689220671
activity_abs_change_5d,-0.005539184169968986,0.13061296233442363,-0.03330840503397028,0.10332801997380969,0.3329216080655659,False,0.25667760294098946
activity_abs_change_7d,-0.05188109323075962,0.12210879322852145,-0.03954213038393408,0.10808205759708242,0.6382282850913998,False,0.11155449784545365
