pen,datespan,type,attention_triggered,attention_time_before,attention_time_before_readable,alert_triggered,alert_time_before,alert_time_before_readable,critical_triggered,critical_time_before,critical_time_before_readable
Pen 1,220228_220328,outbreak,True,67.0,2d 19h,True,52.0,2d 4h,True,39.0,1d 15h
Pen 1,221003_221106,outbreak,True,90.0,3d 18h,True,82.0,3d 10h,True,70.0,2d 22h
Pen 1,221219_230125,outbreak,True,432.0,18d 0h,True,432.0,18d 0h,True,154.0,6d 10h
Pen 1,230227_230406,outbreak,True,76.0,3d 4h,True,64.0,2d 16h,True,47.0,1d 23h
Pen 1,230515_230620,outbreak,True,75.0,3d 3h,True,63.0,2d 15h,True,47.0,1d 23h
Pen 2,220228_220331,outbreak,False,,N/A,False,,N/A,False,,N/A
Pen 2,221003_221106,outbreak,True,64.0,2d 16h,True,58.0,2d 10h,True,50.0,2d 2h
Pen 2,230515_230621,outbreak,False,,N/A,False,,N/A,False,,N/A
Pen 3,220228_220330,outbreak,True,97.0,4d 1h,True,81.0,3d 9h,True,62.0,2d 14h
Pen 3,221003_221106,outbreak,True,54.0,2d 6h,True,44.0,1d 20h,True,34.0,1d 10h
Pen 3,230515_230621,outbreak,True,19.0,19h,True,5.0,5h,False,,N/A
Pen 4,221003_221106,outbreak,False,,N/A,False,,N/A,False,,N/A
Pen 4,221226_230126,outbreak,True,138.0,5d 18h,True,132.0,5d 12h,True,124.0,5d 4h
Pen 4,230227_230406,outbreak,True,161.0,6d 17h,True,142.0,5d 22h,True,96.0,4d 0h
Pen 4,230515_230621,outbreak,True,161.0,6d 17h,True,139.0,5d 19h,True,94.0,3d 22h
Pen 5,220725_220831,outbreak,True,80.0,3d 8h,True,73.0,3d 1h,True,63.0,2d 15h
Pen 5,221004_221104,outbreak,True,432.0,18d 0h,True,344.0,14d 8h,True,181.0,7d 13h
Pen 5,230515_230621,outbreak,True,32.0,1d 8h,True,24.0,1d 0h,True,13.0,13h
Pen 6,221003_221107,outbreak,True,166.0,6d 22h,True,156.0,6d 12h,True,140.0,5d 20h
Pen 6,230515_230622,outbreak,True,66.0,2d 18h,True,47.0,1d 23h,True,32.0,1d 8h
Pen 1,211228_220119,control,False,,,False,,,False,,
Pen 1,220726_220831,control,True,,,True,,,True,,
Pen 2,211227_220119,control,False,,,False,,,False,,
Pen 2,220725_220831,control,False,,,False,,,False,,
Pen 2,221219_230125,control,True,,,False,,,False,,
Pen 2,230227_230405,control,False,,,False,,,False,,
Pen 3,211222_220119,control,False,,,False,,,False,,
Pen 3,220725_220905,control,False,,,False,,,False,,
Pen 3,221219_230125,control,False,,,False,,,False,,
Pen 3,230227_230406,control,False,,,False,,,False,,
Pen 4,211229_220119,control,True,,,True,,,False,,
Pen 4,220228_220407,control,False,,,False,,,False,,
Pen 4,220725_220905,control,False,,,False,,,False,,
Pen 5,211231_220119,control,False,,,False,,,False,,
Pen 5,220228_220407,control,True,,,True,,,True,,
Pen 5,221219_230126,control,False,,,False,,,False,,
Pen 6,211230_220120,control,False,,,False,,,False,,
Pen 6,220228_220407,control,True,,,False,,,False,,
Pen 6,220725_220905,control,False,,,False,,,False,,
Pen 6,221219_230126,control,False,,,False,,,False,,
