Metric,Value
dataset_info_outbreak_data_count,20
dataset_info_outbreak_data_pens,6
dataset_info_control_data_count,100
dataset_info_control_data_pens,6
value_comparison_SB: Bei Entfernung/Ref_count,20
value_comparison_SB: Bei Entfernung/Ref_mean,-0.03606547010599507
value_comparison_SB: Bei Entfernung/Ref_median,-0.1096846213820207
value_comparison_SB: Bei Entfernung/Ref_std,0.3573596397311238
value_comparison_SB: Bei Entfernung/Ref_min,-0.5664579352496172
value_comparison_SB: Bei Entfernung/Ref_max,0.6350941644117436
value_comparison_SB: Bei Entfernung/Ref_percentiles_25,-0.31972834633497776
value_comparison_SB: Bei Entfernung/Ref_percentiles_75,0.21532306508250237
value_comparison_Ktrl: Bei Entfernung/Ref_count,100
value_comparison_Ktrl: Bei Entfernung/Ref_mean,0.7277871213465701
value_comparison_Ktrl: Bei Entfernung/Ref_median,0.7393842558046537
value_comparison_Ktrl: Bei Entfernung/Ref_std,0.11431697797092487
value_comparison_Ktrl: Bei Entfernung/Ref_min,0.2891150543373852
value_comparison_Ktrl: Bei Entfernung/Ref_max,0.9117367897780149
value_comparison_Ktrl: Bei Entfernung/Ref_percentiles_25,0.6770102990039442
value_comparison_Ktrl: Bei Entfernung/Ref_percentiles_75,0.8044021139567608
value_comparison_SB: 1T vorher_count,20
value_comparison_SB: 1T vorher_mean,0.08544727640479541
value_comparison_SB: 1T vorher_median,0.07997220673780936
value_comparison_SB: 1T vorher_std,0.3685088388104629
value_comparison_SB: 1T vorher_min,-0.5594656585157655
value_comparison_SB: 1T vorher_max,0.8024804749311037
value_comparison_SB: 1T vorher_percentiles_25,-0.11903500280181799
value_comparison_SB: 1T vorher_percentiles_75,0.2729766923049373
value_comparison_Ktrl: 1T vorher_count,100
value_comparison_Ktrl: 1T vorher_mean,0.7292481695951212
value_comparison_Ktrl: 1T vorher_median,0.7493663480637515
value_comparison_Ktrl: 1T vorher_std,0.11772173362827501
value_comparison_Ktrl: 1T vorher_min,0.26659684370515785
value_comparison_Ktrl: 1T vorher_max,0.9117367897780149
value_comparison_Ktrl: 1T vorher_percentiles_25,0.6793905890490505
value_comparison_Ktrl: 1T vorher_percentiles_75,0.8069926311202504
value_comparison_SB: 3T vorher_count,20
value_comparison_SB: 3T vorher_mean,0.372240847676038
value_comparison_SB: 3T vorher_median,0.4717762473615317
value_comparison_SB: 3T vorher_std,0.3892731006300123
value_comparison_SB: 3T vorher_min,-0.524434609338501
value_comparison_SB: 3T vorher_max,0.9065728026753445
value_comparison_SB: 3T vorher_percentiles_25,0.23122277593891283
value_comparison_SB: 3T vorher_percentiles_75,0.6424666384772271
value_comparison_Ktrl: 3T vorher_count,100
value_comparison_Ktrl: 3T vorher_mean,0.7236748463722129
value_comparison_Ktrl: 3T vorher_median,0.7439891674018203
value_comparison_Ktrl: 3T vorher_std,0.11960060042788276
value_comparison_Ktrl: 3T vorher_min,0.3369246822467018
value_comparison_Ktrl: 3T vorher_max,0.9117367897780149
value_comparison_Ktrl: 3T vorher_percentiles_25,0.6698766656298732
value_comparison_Ktrl: 3T vorher_percentiles_75,0.8150758577878819
value_comparison_SB: 5T vorher_count,20
value_comparison_SB: 5T vorher_mean,0.561703575799606
value_comparison_SB: 5T vorher_median,0.6739943655366826
value_comparison_SB: 5T vorher_std,0.28278798353468365
value_comparison_SB: 5T vorher_min,-0.016292651162847487
value_comparison_SB: 5T vorher_max,0.8997655078180746
value_comparison_SB: 5T vorher_percentiles_25,0.31563839833591967
value_comparison_SB: 5T vorher_percentiles_75,0.7563977006674746
value_comparison_Ktrl: 5T vorher_count,100
value_comparison_Ktrl: 5T vorher_mean,0.7149263506968357
value_comparison_Ktrl: 5T vorher_median,0.7385154041073152
value_comparison_Ktrl: 5T vorher_std,0.12418829348157422
value_comparison_Ktrl: 5T vorher_min,0.3227800233344941
value_comparison_Ktrl: 5T vorher_max,0.9033576992770603
value_comparison_Ktrl: 5T vorher_percentiles_25,0.6471279726955741
value_comparison_Ktrl: 5T vorher_percentiles_75,0.8155886202252689
value_comparison_SB: 7T vorher_count,20
value_comparison_SB: 7T vorher_mean,0.6765219585396701
value_comparison_SB: 7T vorher_median,0.7486493797978429
value_comparison_SB: 7T vorher_std,0.17628172001016154
value_comparison_SB: 7T vorher_min,0.22782292762366085
value_comparison_SB: 7T vorher_max,0.9007697811889348
value_comparison_SB: 7T vorher_percentiles_25,0.5705729660953565
value_comparison_SB: 7T vorher_percentiles_75,0.7842732116883773
value_comparison_Ktrl: 7T vorher_count,89
value_comparison_Ktrl: 7T vorher_mean,0.7258640537828179
value_comparison_Ktrl: 7T vorher_median,0.7416094937992771
value_comparison_Ktrl: 7T vorher_std,0.11026385541817814
value_comparison_Ktrl: 7T vorher_min,0.26659684370515785
value_comparison_Ktrl: 7T vorher_max,0.8922200824614316
value_comparison_Ktrl: 7T vorher_percentiles_25,0.6667557953371249
value_comparison_Ktrl: 7T vorher_percentiles_75,0.8115371476727661
trajectory_comparison_outbreak_days,"[-7, -5, -3, -1, 0]"
trajectory_comparison_outbreak_mean_values,"[0.6765219585396701, 0.561703575799606, 0.372240847676038, 0.08544727640479541, -0.03606547010599507]"
trajectory_comparison_outbreak_std_values,"[0.18086122859876208, 0.2901343493363984, 0.3993857742954584, 0.37808209117157243, 0.36664325427308275]"
trajectory_comparison_outbreak_sample_counts,"[20, 20, 20, 20, 20]"
trajectory_comparison_control_days,"[-7, -5, -3, -1, 0]"
