Metric,Value
summary_statistics_mean_value_at_removal,-0.03606547010599507
summary_statistics_median_value_at_removal,-0.1096846213820207
summary_statistics_p25_value_at_removal,-0.31972834633497776
summary_statistics_p10_value_at_removal,-0.4034071822687822
summary_statistics_n_analyzed,20
time_point_distributions_7T vorher_count,20
time_point_distributions_7T vorher_mean,0.6765219585396701
time_point_distributions_7T vorher_median,0.7486493797978429
time_point_distributions_7T vorher_std,0.18086122859876208
time_point_distributions_7T vorher_min,0.22782292762366085
time_point_distributions_7T vorher_max,0.9007697811889348
time_point_distributions_7T vorher_percentiles_10,0.4894846214643826
time_point_distributions_7T vorher_percentiles_25,0.5705729660953565
time_point_distributions_7T vorher_percentiles_75,0.7842732116883773
time_point_distributions_7T vorher_percentiles_90,0.8604552792719851
time_point_distributions_5T vorher_count,20
time_point_distributions_5T vorher_mean,0.561703575799606
time_point_distributions_5T vorher_median,0.6739943655366826
time_point_distributions_5T vorher_std,0.2901343493363984
time_point_distributions_5T vorher_min,-0.016292651162847487
time_point_distributions_5T vorher_max,0.8997655078180746
time_point_distributions_5T vorher_percentiles_10,0.11843067458753652
time_point_distributions_5T vorher_percentiles_25,0.31563839833591967
time_point_distributions_5T vorher_percentiles_75,0.7563977006674746
time_point_distributions_5T vorher_percentiles_90,0.8643944171312439
time_point_distributions_3T vorher_count,20
time_point_distributions_3T vorher_mean,0.372240847676038
time_point_distributions_3T vorher_median,0.4717762473615317
time_point_distributions_3T vorher_std,0.3993857742954584
time_point_distributions_3T vorher_min,-0.524434609338501
time_point_distributions_3T vorher_max,0.9065728026753445
time_point_distributions_3T vorher_percentiles_10,-0.218610499398295
time_point_distributions_3T vorher_percentiles_25,0.23122277593891283
time_point_distributions_3T vorher_percentiles_75,0.6424666384772271
time_point_distributions_3T vorher_percentiles_90,0.8390624876055852
time_point_distributions_1T vorher_count,20
time_point_distributions_1T vorher_mean,0.08544727640479541
time_point_distributions_1T vorher_median,0.07997220673780936
time_point_distributions_1T vorher_std,0.37808209117157243
time_point_distributions_1T vorher_min,-0.5594656585157655
time_point_distributions_1T vorher_max,0.8024804749311037
time_point_distributions_1T vorher_percentiles_10,-0.41610215326554445
time_point_distributions_1T vorher_percentiles_25,-0.11903500280181799
time_point_distributions_1T vorher_percentiles_75,0.2729766923049373
time_point_distributions_1T vorher_percentiles_90,0.5926657255634029
time_point_distributions_Bei Entfernung_count,20
time_point_distributions_Bei Entfernung_mean,-0.03606547010599507
time_point_distributions_Bei Entfernung_median,-0.1096846213820207
time_point_distributions_Bei Entfernung_std,0.36664325427308275
time_point_distributions_Bei Entfernung_min,-0.5664579352496172
time_point_distributions_Bei Entfernung_max,0.6350941644117436
time_point_distributions_Bei Entfernung_percentiles_10,-0.4034071822687822
time_point_distributions_Bei Entfernung_percentiles_25,-0.31972834633497776
time_point_distributions_Bei Entfernung_percentiles_75,0.21532306508250237
time_point_distributions_Bei Entfernung_percentiles_90,0.572229404650656
percentage_changes_7T Fenster_count,20
percentage_changes_7T Fenster_mean,-154.8402009967075
percentage_changes_7T Fenster_median,-200.0
percentage_changes_7T Fenster_std,69.72214024698297
percentage_changes_7T Fenster_min,-200.0
percentage_changes_7T Fenster_max,-12.83501379210203
percentage_changes_7T Fenster_percentiles_25,-200.0
percentage_changes_7T Fenster_percentiles_75,-86.84893379462109
percentage_changes_5T Fenster_count,20
percentage_changes_5T Fenster_mean,-148.47484684007537
percentage_changes_5T Fenster_median,-200.0
percentage_changes_5T Fenster_std,77.16605037893598
percentage_changes_5T Fenster_min,-200.0
percentage_changes_5T Fenster_max,-10.707814923445781
percentage_changes_5T Fenster_percentiles_25,-200.0
percentage_changes_5T Fenster_percentiles_75,-72.69797396666158
percentage_changes_3T Fenster_count,20
percentage_changes_3T Fenster_mean,-117.86005675045207
percentage_changes_3T Fenster_median,-184.1253805929329
percentage_changes_3T Fenster_std,92.84325119988966
percentage_changes_3T Fenster_min,-200.0
percentage_changes_3T Fenster_max,14.1432354905714
percentage_changes_3T Fenster_percentiles_25,-200.0
percentage_changes_3T Fenster_percentiles_75,-13.716353574892125
percentage_changes_1T Fenster_count,20
percentage_changes_1T Fenster_mean,-80.70658053920994
percentage_changes_1T Fenster_median,-32.17969390468352
percentage_changes_1T Fenster_std,88.57195660618105
percentage_changes_1T Fenster_min,-200.00000000000003
percentage_changes_1T Fenster_max,10.545561981982246
percentage_changes_1T Fenster_percentiles_25,-197.01038224781777
percentage_changes_1T Fenster_percentiles_75,-4.25533157951892
absolute_changes_7T Fenster_count,20
absolute_changes_7T Fenster_mean,-0.7125874286456652
absolute_changes_7T Fenster_median,-0.7569011764456728
absolute_changes_7T Fenster_std,0.3545782683968346
absolute_changes_7T Fenster_min,-1.3536354729568967
absolute_changes_7T Fenster_max,-0.08710435134971062
absolute_changes_7T Fenster_percentiles_25,-0.96961307115937
absolute_changes_7T Fenster_percentiles_75,-0.48643561870163654
absolute_changes_5T Fenster_count,20
absolute_changes_5T Fenster_mean,-0.597769045905601
absolute_changes_5T Fenster_median,-0.6875719838764268
absolute_changes_5T Fenster_std,0.3666410894344907
absolute_changes_5T Fenster_min,-1.1351246186829258
absolute_changes_5T Fenster_max,-0.07108748412819291
absolute_changes_5T Fenster_percentiles_25,-0.8718725614998861
absolute_changes_5T Fenster_percentiles_75,-0.23675987670931622
absolute_changes_3T Fenster_count,20
absolute_changes_3T Fenster_mean,-0.408306317782033
absolute_changes_3T Fenster_median,-0.49117555545635844
absolute_changes_3T Fenster_std,0.33962277486611875
absolute_changes_3T Fenster_min,-0.9464642514826626
